frame,class,id,x_center,y_center,x,y,w,h
119,car,1,191.37852,664.6962,1.2985255,564.0501,380.16,201.29224
119,truck,2,177.11984,404.94653,156.99173,382.24457,40.25624,45.40396
120,car,1,191.24936,664.62744,0.49869594,563.5077,381.5013,202.23944
120,truck,2,177.32043,404.894,157.12149,382.10144,40.39789,45.585144
121,car,1,191.36165,665.56464,0.7233157,564.54816,381.27667,202.03296
121,truck,2,177.50714,405.00275,157.18723,382.0788,40.639816,45.84787
122,car,1,191.0,665.1228,0.0,563.5706,382.0,203.10443
122,truck,2,177.52649,405.40375,156.94179,382.1698,41.169388,46.467865
123,car,1,191.0,664.8977,0.0,563.15,382.0,203.49542
123,truck,2,177.52438,406.10538,157.0105,382.99347,41.027756,46.223816
124,car,1,191.06917,664.8358,0.13835703,563.3143,381.86163,203.04309
124,truck,2,177.50482,406.48218,156.91399,383.322,41.181686,46.320343
124,truck,14,149.25543,397.70343,142.09125,389.69922,14.328354,16.008392
125,car,1,191.38315,664.6992,0.76631683,563.52466,381.23367,202.34918
125,truck,2,177.44167,406.54236,156.77505,383.34103,41.33322,46.40268
125,truck,14,148.78978,397.9934,141.51105,389.8691,14.557465,16.248566
126,car,1,191.79721,665.8453,1.7697824,564.99817,380.05487,201.69421
126,truck,2,177.33109,406.75226,156.57072,383.5041,41.520737,46.496338
126,truck,14,148.59589,398.66663,141.03574,390.2346,15.1203,16.864105
126,truck,14,148.38995,398.32666,140.4359,389.78806,15.908096,17.077179
127,car,1,191.97482,665.984,2.9465618,565.7321,378.05652,200.50385
127,truck,2,177.23886,406.51093,156.31969,383.1305,41.838333,46.760834
127,truck,14,148.55276,398.42456,141.21472,390.26163,14.676102,16.325867
127,truck,14,148.41953,398.09747,140.45395,389.54718,15.931168,17.100616
128,car,1,192.06435,667.4702,3.462967,567.5061,377.20276,199.92822
128,truck,2,177.32858,406.3313,156.2458,382.78775,42.165573,47.087128
129,car,1,191.62852,665.65247,1.4744263,564.84,380.3082,201.62482
129,truck,2,177.25635,406.29462,155.92747,382.4948,42.65773,47.59961
129,truck,14,147.89145,397.6728,140.25146,389.1871,15.279953,16.971405
130,car,1,191.74069,665.78107,1.4813626,564.81146,380.51865,201.93921
130,truck,2,177.09634,406.51495,155.88033,382.92398,42.432022,47.181946
130,truck,14,147.54788,397.58356,140.0236,389.26648,15.048553,16.634186
131,car,1,191.55077,665.0724,1.1839433,564.11066,380.73364,201.9234
131,truck,2,177.04346,406.3526,155.60663,382.58057,42.873657,47.544098
131,truck,14,147.17352,396.5697,139.76808,388.4466,14.810867,16.246185
132,car,1,191.24373,665.02356,0.4874639,563.7219,381.51254,202.60327
132,truck,2,176.98773,406.3736,155.40274,382.49527,43.169983,47.756622
132,truck,14,146.84683,396.4436,139.29268,388.16864,15.108307,16.549957
133,car,1,191.37794,665.53,0.96356606,564.53986,380.82877,201.98029
133,truck,2,176.92152,406.38647,155.24669,382.4562,43.34967,47.860504
133,truck,14,146.68198,396.63275,139.02164,388.27872,15.320694,16.708069
134,car,1,191.0,665.906,0.0,564.3289,382.0,203.15424
134,truck,2,176.79669,406.48822,154.90514,382.35754,43.78311,48.261353
134,truck,14,146.05582,397.1714,137.7009,388.04327,16.709854,18.256195
135,car,1,191.0,666.19495,0.0,564.50354,382.0,203.38281
135,truck,2,176.73853,406.607,154.79756,382.45697,43.881943,48.30005
135,truck,14,145.85605,397.5584,137.29202,388.19626,17.128067,18.724304
135,truck,14,145.38666,397.7551,136.27843,388.04608,18.216476,19.41803
136,car,1,191.16435,665.6461,0.32872057,564.17554,381.67126,202.94122
136,truck,2,176.7102,406.83405,154.5664,382.4637,44.287613,48.74063
136,truck,14,145.64523,397.81778,136.90773,388.26083,17.475006,19.113892
136,truck,14,145.28973,397.95068,136.205,388.2726,18.169464,19.35614
137,car,1,191.0,665.45557,0.0,563.7186,382.0,203.47388
137,truck,2,176.67313,407.00043,154.36304,382.44797,44.62018,49.10489
137,truck,14,145.40555,398.1078,136.56837,388.44122,17.674332,19.3331
137,truck,14,145.0994,398.2716,136.03786,388.62903,18.123077,19.285187
138,car,1,191.0,665.24396,0.0,563.4052,382.0,203.67749
138,truck,2,176.49313,407.06177,153.96747,382.26376,45.05133,49.59601
138,truck,14,144.6016,397.919,135.55858,388.00574,18.08603,19.826538
138,truck,14,144.36908,398.28485,135.20592,388.5499,18.32634,19.46988
139,car,1,191.21349,664.88477,0.42697486,563.3703,381.57303,203.02887
139,truck,2,176.38437,406.99493,153.7209,382.02988,45.326935,49.930115
139,truck,14,143.89996,397.74377,134.82011,387.81143,18.159683,19.864716
139,truck,14,143.65747,398.17847,134.4813,388.4577,18.352371,19.441528
140,car,1,191.27206,664.70654,0.54414815,563.2576,381.45584,202.89783
140,truck,2,176.34407,406.96466,153.64096,381.9423,45.40622,50.04471
140,truck,14,143.63629,397.67358,134.5382,387.742,18.196182,19.86319
140,truck,14,143.42201,398.1297,134.21661,388.4085,18.410797,19.442383
141,car,1,191.14154,664.71094,0.28308868,563.0617,381.71692,203.29846
141,truck,2,175.8207,406.99384,152.90192,381.74823,45.837555,50.49118
141,truck,14,143.1919,397.4392,133.91057,387.3397,18.562668,20.199005
141,truck,14,142.8417,397.90735,133.49239,388.06735,18.698639,19.679962
142,car,1,191.37506,664.84534,1.2919344,563.7974,380.16626,202.09583
142,truck,2,175.51309,407.00934,152.42545,381.56583,46.175278,50.886993
142,truck,14,142.80255,397.5097,133.49812,387.41605,18.608856,20.187347
142,truck,14,142.38596,397.912,132.92706,387.97424,18.91777,19.875458
143,car,1,191.3859,664.5891,1.5356191,563.7084,379.70056,201.76154
143,truck,2,175.07378,407.50256,151.69684,381.71274,46.753876,51.57965
143,truck,14,142.18771,398.04572,132.71547,387.81293,18.944489,20.465546
